Umur,Domisili,Province,Jenis Kelamin,Total Twitter Sekunder,Twitter1,Twitter2,Twitter3,Twitter4,Twitter5,Twitter6,Private Second Account,Roleplay Acc,Fake/Spam,Alter Acc,BodySatisfaction,FamCloseness,ParentsinMarriage,LivingApart,Loneliness,SExp1,SExp2,SExp3,SExp4,SExp5,SExp6,SExp,InfSeek1,InfSeek2,InfSeek3,InfSeek4,InfSeek,Soc1,Soc2,Soc3,Soc4,Soc,Div1,Div2,Div,UG_TOT,DA1,DA2,DA3,DA4,DA_OD,IN1,IN2,IN3,IN4,IN5,IN_OD,AS1,AS2,AS3,AS_OD,SI1,SI2,SI3,SI_OD,DI1,DI2,DI3,DI4,DI_OD,MA1,MA2,MA3,MA4,MA_OD,OD_TOT,SNS1,SNS2,SNS3,SNS4,SNS5,SNS6,SNS_TOT
1,Bandung,Jawa Barat,0,2,Private Second Account,Fake/Spam/Fan Account,,,,,1,0,1,0,3,3,0,0,4,2,1,5,6,7,1,22,7,7,7,7,28,7,7,5,6,25,7,7,14,89,7,7,7,6,27,5,5,3,3,3,19,6,7,7,20,6,6,6,18,4,3,2,4,13,2,3,5,4,14,111,5,5,5,5,5,5,30
1,Bandung,Jawa Barat,0,2,Private Second Account,Fake/Spam/Fan Account,,,,,1,0,1,0,3,3,1,0,1,5,6,4,7,5,5,32,6,5,3,3,17,7,5,2,5,19,7,4,11,79,5,6,6,5,22,6,4,4,3,2,19,6,6,6,18,4,3,6,13,2,1,1,3,7,5,5,5,3,18,97,4,2,2,3,4,2,17
1,Bandung,Jawa Barat,0,2,Private Second Account,Fake/Spam/Fan Account,,,,,1,0,1,0,4,4,1,1,1,3,2,3,6,7,3,24,7,7,7,2,23,7,7,7,7,28,7,5,12,87,3,5,4,3,15,3,3,3,3,2,14,3,3,7,13,4,4,5,13,2,1,2,4,9,2,1,2,2,7,71,4,4,4,2,4,2,20
0,Bandung,Jawa Barat,0,2,Private Second Account,Fake/Spam/Fan Account,,,,,1,0,1,0,4,4,1,0,1,4,4,5,7,6,4,30,5,7,7,5,24,7,7,4,4,22,5,7,12,88,1,4,2,1,8,2,1,2,1,4,10,2,5,5,12,4,4,6,14,2,1,2,3,8,2,2,4,4,12,64,4,3,2,3,2,1,15
1,Bandung,Jawa Barat,0,2,Private Second Account,Fake/Spam/Fan Account,,,,,1,0,1,0,3,3,1,0,3,4,1,3,7,4,1,20,4,5,5,4,18,6,5,5,5,21,6,5,11,70,5,5,6,5,21,6,6,6,6,4,28,6,6,6,18,6,5,6,17,4,4,4,4,16,4,5,4,4,17,117,2,2,5,5,1,2,17
1,Bandung,Jawa Barat,0,2,Private Second Account,Fake/Spam/Fan Account,,,,,1,0,1,0,3,1,0,1,3,2,1,2,6,2,2,15,6,7,6,3,22,7,7,7,7,28,7,2,9,74,2,2,4,3,11,4,3,4,3,3,17,4,2,4,10,2,4,4,10,3,5,4,4,16,3,5,6,2,16,80,4,3,4,3,3,2,19
1,Bandung,Jawa Barat,0,2,Private Second Account,Fake/Spam/Fan Account,,,,,1,0,1,0,4,4,1,1,3,6,1,5,7,7,4,30,7,5,5,3,20,7,7,6,7,27,7,7,14,91,5,6,6,1,18,3,4,3,4,5,19,6,6,6,18,3,5,5,13,5,2,2,4,13,1,1,1,1,4,85,5,5,5,5,5,5,30
1,Bandung,Jawa Barat,0,2,Private Second Account,Fake/Spam/Fan Account,,,,,1,0,1,0,3,3,1,0,3,3,3,5,6,7,4,28,7,7,7,5,26,6,5,5,5,21,5,6,11,86,7,6,6,6,25,7,7,7,5,1,27,7,6,6,19,4,5,6,15,6,6,6,6,24,5,3,3,3,14,124,1,1,3,3,1,4,13
2,Bandung,Jawa Barat,0,2,Private Second Account,Fake/Spam/Fan Account,,,,,1,0,1,0,2,4,1,1,1,3,1,6,5,4,1,20,4,4,4,4,16,7,6,6,5,24,3,3,6,66,6,6,5,3,20,4,4,3,3,3,17,5,7,6,18,5,4,4,13,4,2,2,1,9,2,2,2,2,8,85,2,2,4,2,1,1,12
1,Bandung,Jawa Barat,0,2,Private Second Account,Fake/Spam/Fan Account,,,,,1,0,1,0,3,3,1,1,2,5,1,6,7,5,1,25,5,5,4,3,17,6,6,4,4,20,6,7,13,75,6,6,7,5,24,5,6,6,7,6,30,7,6,6,19,5,5,5,15,3,4,4,4,15,5,4,4,5,18,121,4,3,4,2,2,3,18
