Umur,Domisili,Province,Jenis Kelamin,Total Twitter Sekunder,Twitter1,Twitter2,Twitter3,Twitter4,Twitter5,Twitter6,Private Second Account,Roleplay Acc,Fake/Spam,Alter Acc,BodySatisfaction,FamCloseness,ParentsinMarriage,LivingApart,Loneliness,SExp1,SExp2,SExp3,SExp4,SExp5,SExp6,SExp,InfSeek1,InfSeek2,InfSeek3,InfSeek4,InfSeek,Soc1,Soc2,Soc3,Soc4,Soc,Div1,Div2,Div,UG_TOT,DA1,DA2,DA3,DA4,DA_OD,IN1,IN2,IN3,IN4,IN5,IN_OD,AS1,AS2,AS3,AS_OD,SI1,SI2,SI3,SI_OD,DI1,DI2,DI3,DI4,DI_OD,MA1,MA2,MA3,MA4,MA_OD,OD_TOT,SNS1,SNS2,SNS3,SNS4,SNS5,SNS6,SNS_TOT
1,Cirebon,Jawa Barat,0,2,Fake/Spam/Fan Account,Private Second Account,,,,,1,0,1,0,2,3,0,1,2,1,1,1,6,5,1,15,7,7,3,2,19,7,7,4,7,25,7,7,14,73,7,7,6,7,27,7,6,7,7,7,34,7,7,7,21,2,5,5,12,4,4,5,5,18,7,7,7,7,28,140,1,2,5,2,3,1,14
1,Cirebon,Jawa Barat,0,2,Private Second Account,Fake/Spam/Fan Account,,,,,1,0,1,0,3,4,1,1,2,3,1,5,7,6,1,23,7,7,6,6,26,7,6,7,7,27,7,6,13,89,7,7,7,5,26,5,5,5,5,5,25,6,6,6,18,6,6,6,18,2,1,1,1,5,1,2,2,2,7,99,5,4,4,3,4,2,22
1,Cirebon,Jawa Barat,0,2,Private Second Account,Fake/Spam/Fan Account,,,,,1,0,1,0,2,2,1,0,1,6,1,4,7,3,1,22,5,5,4,1,15,7,1,2,3,13,6,7,13,63,6,4,6,5,21,3,6,3,2,6,20,7,7,7,21,5,3,5,13,7,7,4,5,23,5,5,7,5,22,120,5,4,5,5,4,4,27
1,Cirebon,Jawa Barat,0,2,Private Second Account,Fake/Spam/Fan Account,,,,,1,0,1,0,2,3,0,1,4,5,3,5,7,4,3,27,5,6,2,2,15,7,6,6,5,24,5,7,12,78,6,3,6,5,20,4,4,5,4,4,21,6,7,7,20,6,5,5,16,3,3,3,5,14,4,4,4,3,15,106,4,3,5,4,4,3,23
1,Cirebon,Jawa Barat,0,2,Private Second Account,Fake/Spam/Fan Account,,,,,1,0,1,0,3,3,1,0,2,3,2,5,7,7,1,25,6,7,6,1,20,7,5,5,6,23,7,7,14,82,6,7,7,6,26,5,6,5,5,7,28,7,7,7,21,5,6,4,15,6,4,4,7,21,5,6,7,4,22,133,5,3,5,2,1,2,18
1,Cirebon,Jawa Barat,0,2,Private Second Account,Alter Account,,,,,1,0,0,1,3,2,1,0,3,4,2,3,4,6,1,20,4,4,4,4,16,6,3,2,2,13,6,6,12,61,6,5,6,6,23,6,6,6,6,5,29,6,6,6,18,4,3,5,12,2,2,2,5,11,5,2,3,2,12,105,4,2,4,4,2,2,18
1,Cirebon,Jawa Barat,0,2,Private Second Account,Fake/Spam/Fan Account,,,,,1,0,1,0,2,1,0,0,4,5,1,5,7,7,1,26,7,7,5,6,25,7,5,5,5,22,7,7,14,87,6,6,7,6,25,7,6,4,7,5,29,7,7,7,21,7,7,6,20,5,6,5,7,23,5,5,5,5,20,138,5,5,5,3,3,5,26
1,Cirebon,Jawa Barat,0,2,Private Second Account,Fake/Spam/Fan Account,,,,,1,0,1,0,2,1,1,0,4,5,1,4,6,5,1,22,7,6,6,3,22,7,2,6,6,21,6,6,12,77,7,6,6,6,25,6,6,6,6,6,30,7,7,7,21,2,2,4,8,5,6,1,3,15,5,3,2,3,13,112,4,5,5,2,2,4,22
1,Cirebon,Jawa Barat,0,2,Private Second Account,Fake/Spam/Fan Account,,,,,1,0,1,0,3,4,1,0,3,5,5,5,7,6,6,34,7,7,7,7,28,7,6,6,6,25,7,7,14,101,5,3,5,5,18,5,5,5,5,4,24,5,5,5,15,5,4,5,14,3,3,3,6,15,5,5,5,5,20,106,5,4,4,5,4,3,25
0,Cirebon,Jawa Barat,0,2,Role Play Account,Fake/Spam/Fan Account,,,,,0,1,1,0,3,3,1,0,1,4,3,4,7,6,2,26,7,7,6,5,25,7,4,4,6,21,7,3,10,82,5,4,4,5,18,6,5,5,5,5,26,6,6,6,18,6,6,6,18,6,4,2,3,15,3,2,2,2,9,104,5,3,3,4,4,3,22
1,Cirebon,Jawa Barat,0,1,Fake/Spam/Fan Account,,,,,,0,0,1,0,2,3,1,0,2,3,2,7,6,6,1,25,6,4,5,5,20,6,5,3,2,16,5,5,10,71,6,6,6,4,22,4,3,5,5,5,22,6,6,6,18,4,4,4,12,4,4,3,3,14,3,4,4,4,15,103,5,3,4,3,3,4,22
1,Cirebon,Jawa Barat,0,1,Private Second Account,,,,,,1,0,0,0,2,3,1,0,2,1,1,5,5,4,1,17,7,7,7,7,28,7,7,7,7,28,7,7,14,87,7,7,7,6,27,7,7,7,7,5,33,4,5,5,14,5,5,5,15,5,4,3,4,16,5,5,6,5,21,126,4,4,4,4,4,4,24
1,Cirebon,Jawa Barat,0,1,Private Second Account,,,,,,1,0,0,0,3,4,1,0,1,6,3,7,7,7,4,34,7,7,7,4,25,7,6,6,6,25,7,7,14,98,6,5,7,6,24,2,3,1,2,2,10,6,6,7,19,2,6,6,14,6,6,5,5,22,5,6,6,6,23,112,5,5,5,5,5,5,30
1,Cirebon,Jawa Barat,0,1,Private Second Account,,,,,,1,0,0,0,2,4,1,0,3,2,6,7,7,7,6,35,7,7,7,5,26,6,3,6,5,20,7,7,14,95,7,6,6,6,25,7,2,7,5,6,27,7,7,7,21,2,6,6,14,2,7,7,7,23,2,2,2,6,12,122,4,5,5,5,1,1,21
1,Cirebon,Jawa Barat,0,1,Private Second Account,,,,,,1,0,0,0,3,3,1,1,1,4,6,3,7,4,6,30,6,6,6,4,22,7,6,1,3,17,7,7,14,83,7,5,7,6,25,6,4,6,4,6,26,6,5,5,16,5,4,6,15,1,1,1,1,4,1,2,1,1,5,91,3,3,4,5,3,1,19
0,Cirebon,Jawa Barat,0,1,Private Second Account,,,,,,1,0,0,0,3,2,1,0,2,3,2,4,7,7,2,25,7,7,7,7,28,7,4,2,3,16,7,7,14,83,6,6,1,6,19,7,5,6,6,6,30,7,7,7,21,5,5,6,16,3,5,6,6,20,3,3,6,2,14,120,5,3,4,2,2,2,18
0,Cirebon,Jawa Barat,1,1,Role Play Account,,,,,,0,1,0,0,3,4,1,0,4,4,1,3,6,7,1,22,7,7,7,7,28,7,5,7,7,26,7,7,14,90,1,1,5,5,12,3,1,4,3,7,18,7,7,7,21,5,4,3,12,3,5,5,2,15,4,6,4,4,18,96,5,4,5,5,3,3,25
1,Curup,Bengkulu,0,1,Private Second Account,,,,,,1,0,0,0,3,2,1,1,2,3,2,3,3,2,1,14,3,3,2,2,10,4,4,3,3,14,3,4,7,45,2,2,3,3,10,2,2,2,2,2,10,2,2,2,6,4,2,4,10,2,2,1,4,9,2,2,2,2,8,53,3,3,4,2,3,1,16
1,Demak,Jawa Tengah,1,1,Alter Account,,,,,,0,0,0,1,3,3,1,0,1,4,1,7,7,7,2,28,7,7,5,5,24,6,7,5,4,22,7,6,13,87,7,7,7,6,27,7,7,7,7,1,29,6,6,6,18,5,5,6,16,5,7,4,4,20,5,4,3,3,15,125,4,4,5,4,3,4,24
1,Demak,Jawa Tengah,0,1,Fake/Spam/Fan Account,,,,,,0,0,1,0,3,4,1,0,3,3,1,2,7,5,2,20,7,6,5,2,20,7,3,1,3,14,7,7,14,68,7,6,5,6,24,6,5,7,7,7,32,5,7,5,17,6,7,6,19,5,3,1,4,13,3,2,2,3,10,115,4,2,5,4,2,3,20
0,Demak,Jawa Tengah,0,1,Private Second Account,,,,,,1,0,0,0,3,3,0,0,2,7,3,7,7,3,3,30,7,7,6,6,26,7,5,5,7,24,7,7,14,94,7,7,5,4,23,7,4,7,7,3,28,1,1,1,3,7,3,7,17,5,5,5,7,22,3,1,3,1,8,101,5,5,5,5,5,4,29
1,DKI Jakarta,DKI Jakarta,0,3,Private Second Account,Role Play Account,Fake/Spam/Fan Account,,,,1,1,1,0,4,4,0,0,4,4,6,7,4,6,6,33,6,7,6,4,23,7,4,7,7,25,7,4,11,92,4,4,7,4,19,6,5,5,4,4,24,3,2,2,7,2,4,4,10,2,3,4,6,15,7,7,7,4,25,100,4,4,5,5,3,5,26
0,DKI Jakarta,DKI Jakarta,0,2,Private Second Account,Fake/Spam/Fan Account,Fake/Spam/Fan Account,,,,1,0,2,0,2,2,0,0,4,5,6,5,7,7,3,33,7,6,6,4,23,7,3,3,4,17,6,7,13,86,5,5,6,4,20,6,3,4,4,3,20,5,5,5,15,6,3,4,13,2,1,2,4,9,5,5,6,3,19,96,5,5,5,5,3,4,27
1,DKI Jakarta,DKI Jakarta,0,3,Private Second Account,Fake/Spam/Fan Account,Affiliate account,,,,1,0,1,0,3,3,1,0,4,4,3,4,6,7,2,26,7,7,6,7,27,7,5,7,7,26,5,7,12,91,4,3,5,3,15,6,3,2,2,4,17,7,7,7,21,4,5,5,14,3,5,3,4,15,6,5,6,4,21,103,4,4,5,5,3,3,24
1,DKI Jakarta,DKI Jakarta,0,3,Private Second Account,Role Play Account,Fake/Spam/Fan Account,,,,1,1,1,0,2,3,1,0,4,1,1,3,5,5,6,21,7,6,5,1,19,7,6,2,3,18,7,7,14,72,7,7,6,5,25,3,7,3,3,3,19,5,6,6,17,5,5,5,15,2,4,4,4,14,6,5,5,4,20,110,5,3,4,4,3,5,24
1,DKI Jakarta,DKI Jakarta,0,3,Private Second Account,Fake/Spam/Fan Account,College/study account,,,,1,0,1,0,1,3,1,1,4,4,6,6,6,6,2,30,5,6,6,5,22,6,5,6,5,22,6,6,12,86,5,2,5,3,15,2,2,5,3,4,16,5,6,7,18,5,6,5,16,2,2,2,3,9,2,2,1,3,8,82,5,4,5,4,3,4,25
0,DKI Jakarta,DKI Jakarta,0,3,Private Second Account,Role Play Account,cyber,,,,1,1,0,0,3,2,1,0,4,1,1,4,7,7,1,21,6,7,7,5,25,7,6,7,7,27,7,6,13,86,6,6,7,7,26,6,7,7,6,6,32,3,2,2,7,7,6,5,18,6,6,6,7,25,7,7,5,3,22,130,5,3,5,5,4,1,23
1,DKI Jakarta,DKI Jakarta,0,3,Private Second Account,Fake/Spam/Fan Account,Cyber,,,,1,0,1,0,3,3,1,1,3,5,6,6,7,7,5,36,6,6,6,6,24,7,7,7,7,28,7,7,14,102,7,6,6,6,25,5,4,4,4,3,20,5,5,5,15,6,5,5,16,3,3,2,1,9,1,2,2,1,6,91,5,4,5,3,2,4,23
1,DKI Jakarta,DKI Jakarta,0,2,Private Second Account,Fake/Spam/Fan Account,Fake/Spam/Fan Account,,,,1,0,2,0,2,4,1,0,1,4,2,1,7,3,6,23,3,5,4,2,14,7,4,6,5,22,7,7,14,73,7,7,7,5,26,5,3,6,5,6,25,7,7,7,21,7,7,5,19,6,3,2,1,12,6,4,5,5,20,123,3,3,5,3,2,2,18
1,DKI Jakarta,DKI Jakarta,0,4,Private Second Account,Alter Account,Fake/Spam/Fan Account,Writing acc and business acc,,,1,0,1,1,3,1,1,0,2,2,2,5,6,6,2,23,4,6,6,5,21,7,4,2,2,15,6,7,13,72,6,4,4,4,18,5,6,4,4,4,23,6,6,6,18,5,6,5,16,1,1,1,1,4,1,5,5,5,16,95,2,3,5,2,3,2,17
1,DKI Jakarta,DKI Jakarta,0,3,Private Second Account,Role Play Account,Business Account,,,,1,1,0,0,3,3,1,0,4,4,1,3,7,3,1,19,6,6,4,3,19,7,2,4,4,17,7,7,14,69,7,6,7,7,27,7,7,7,5,5,31,4,4,4,12,5,4,4,13,3,7,6,5,21,4,4,4,4,16,120,4,3,4,5,3,4,23
1,DKI Jakarta,DKI Jakarta,0,3,Private Second Account,Role Play Account,Fake/Spam/Fan Account,,,,1,1,1,0,4,3,1,1,3,4,5,5,7,7,5,33,5,7,7,4,23,7,7,7,7,28,7,7,14,98,3,3,5,4,15,2,2,2,2,2,10,5,6,6,17,5,3,3,11,1,1,1,2,5,1,3,5,2,11,69,2,3,4,3,1,2,15
1,DKI Jakarta,DKI Jakarta,0,4,Private Second Account,Role Play Account,Fake/Spam/Fan Account,cyber account  and business account,,,1,1,1,0,2,2,1,0,4,6,4,5,7,6,5,33,7,7,7,6,27,7,7,7,7,28,5,4,9,97,7,7,7,7,28,2,7,5,6,5,25,6,5,5,16,6,5,6,17,5,7,4,4,20,6,6,7,5,24,130,4,4,5,5,5,4,27
1,DKI Jakarta,DKI Jakarta,0,3,Private Second Account,Alter Account,Fake/Spam/Fan Account,,,,1,0,1,1,3,3,1,1,4,4,2,4,6,7,4,27,6,7,7,6,26,7,7,7,7,28,7,7,14,95,6,4,5,5,20,3,4,4,4,6,21,6,6,6,18,4,5,4,13,6,6,2,4,18,4,3,3,4,14,104,5,5,5,3,3,3,24
1,DKI Jakarta,DKI Jakarta,0,3,Private Second Account,Role Play Account,Fake/Spam/Fan Account,,,,1,1,1,0,3,4,1,0,3,5,5,5,6,6,5,32,6,6,5,4,21,7,6,6,5,24,6,6,12,89,5,5,4,4,18,5,5,5,5,4,24,5,6,6,17,6,6,6,18,6,5,4,4,19,5,3,4,4,16,112,4,4,4,4,4,3,23
1,DKI Jakarta,DKI Jakarta,0,3,Private Second Account,Role Play Account,Fake/Spam/Fan Account,,,,1,1,1,0,3,2,1,0,3,7,7,7,7,7,5,40,6,6,5,5,22,7,6,7,6,26,7,7,14,102,7,5,6,4,22,2,2,2,3,2,11,6,6,6,18,6,6,5,17,3,3,2,5,13,5,5,5,5,20,101,5,5,5,5,5,5,30
0,DKI Jakarta,DKI Jakarta,0,4,Private Second Account,Fake/Spam/Fan Account,business account,study account,,,1,0,1,0,3,3,1,0,2,5,3,5,7,5,5,30,6,7,7,6,26,7,4,5,5,21,6,6,12,89,7,6,6,6,25,5,3,5,6,4,23,6,6,6,18,5,5,5,15,4,3,4,5,16,2,2,5,3,12,109,4,3,4,4,4,3,22
1,DKI Jakarta,DKI Jakarta,0,3,Private Second Account,Role Play Account,Fake/Spam/Fan Account,,,,1,1,1,0,2,3,1,0,2,7,3,4,5,3,3,25,4,6,4,4,18,7,4,7,7,25,7,7,14,82,4,5,5,4,18,3,3,3,3,3,15,4,4,4,12,7,5,6,18,3,2,2,2,9,2,1,7,3,13,85,5,5,5,2,2,1,20
1,DKI Jakarta,DKI Jakarta,0,3,Private Second Account,Role Play Account,Fake/Spam/Fan Account,Fake/Spam/Fan Account,,,1,1,2,0,3,2,1,1,2,4,2,4,7,5,2,24,7,7,6,6,26,7,6,7,7,27,7,7,14,91,6,6,5,5,22,4,5,3,3,3,18,6,6,6,18,4,5,6,15,1,1,1,1,4,5,5,5,5,20,97,5,3,5,4,5,5,27
0,DKI Jakarta,DKI Jakarta,0,2,Private Second Account,Fake/Spam/Fan Account,Fake/Spam/Fan Account,,,,1,0,2,0,3,2,0,0,3,5,5,5,5,5,5,30,5,5,5,5,20,6,4,6,6,22,6,6,12,84,5,3,5,4,17,6,6,6,2,3,23,6,6,6,18,2,3,4,9,2,3,2,2,9,5,5,5,3,18,94,4,2,4,4,4,4,22
1,DKI Jakarta,DKI Jakarta,0,3,Private Second Account,Alter Account,Fake/Spam/Fan Account,,,,1,0,1,1,2,2,1,0,4,6,5,5,7,6,5,34,6,6,6,6,24,7,6,7,7,27,7,7,14,99,2,2,2,2,8,2,2,2,2,5,13,6,6,6,18,6,6,6,18,2,5,2,5,14,6,6,6,5,23,94,4,4,5,4,5,2,24
1,DKI Jakarta,DKI Jakarta,0,3,Private Second Account,Alter Account,Fake/Spam/Fan Account,,,,1,0,1,1,3,4,1,0,2,3,1,7,7,2,1,21,7,7,7,4,25,7,1,1,1,10,7,7,14,70,2,7,7,7,23,7,7,7,7,7,35,7,7,7,21,5,6,5,16,7,5,4,5,21,6,4,6,3,19,135,5,3,5,5,3,4,25
0,DKI Jakarta,DKI Jakarta,0,5,Private Second Account,Role Play Account,Alter Account,Fake/Spam/Fan Account,Acc baca au,,1,1,1,1,3,4,1,0,1,5,1,4,6,4,2,22,5,6,6,4,21,6,5,7,7,25,7,5,12,80,7,7,6,5,25,3,2,3,5,4,17,7,7,7,21,6,3,5,14,5,6,4,5,20,1,3,1,5,10,107,4,2,4,2,1,4,17
1,DKI Jakarta,DKI Jakarta,0,2,Private Second Account,Private Second Account,Bukan nama sebenarnya,,,,2,0,0,0,2,4,1,1,1,3,5,3,6,7,7,31,5,5,7,7,24,7,5,7,7,26,7,5,12,93,5,5,2,2,14,6,4,4,4,4,22,7,7,7,21,6,6,6,18,4,4,4,4,16,1,1,1,1,4,95,3,1,2,5,1,5,17
2,DKI Jakarta,DKI Jakarta,0,3,Private Second Account,Alter Account,Fake/Spam/Fan Account,,,,1,0,1,1,2,2,1,1,1,5,1,4,7,7,1,25,7,7,3,2,19,7,7,6,2,22,5,3,8,74,6,6,6,3,21,6,4,3,2,4,19,5,6,6,17,2,5,4,11,2,1,1,1,5,2,2,2,1,7,80,4,1,3,2,4,1,15
0,DKI Jakarta,DKI Jakarta,0,3,Private Second Account,Role Play Account,Fake/Spam/Fan Account,,,,1,1,1,0,3,4,1,0,2,4,6,3,7,7,7,34,6,6,6,4,22,7,5,7,7,26,7,7,14,96,7,6,7,5,25,7,4,5,5,6,27,7,7,7,21,6,5,6,17,4,3,3,3,13,4,5,6,4,19,122,4,2,4,2,3,4,19
1,DKI Jakarta,DKI Jakarta,0,3,Private Second Account,Fake/Spam/Fan Account,Fake/Spam/Fan Account,Fake/Spam/Fan Account,Akun jajan,,1,0,3,0,1,1,0,0,4,3,7,2,5,7,3,27,7,5,7,4,23,7,7,3,4,21,7,7,14,85,7,7,7,7,28,7,7,7,7,7,35,7,7,7,21,6,4,6,16,3,4,1,4,12,5,7,7,3,22,134,3,4,5,5,5,5,27
0,DKI Jakarta,DKI Jakarta,0,3,Private Second Account,Alter Account,Fake/Spam/Fan Account,Fake/Spam/Fan Account,,,1,0,2,1,3,2,0,0,3,6,4,7,7,3,1,28,3,4,1,1,9,7,5,1,3,16,5,7,12,65,7,3,2,2,14,7,1,1,2,1,12,7,7,7,21,7,6,7,20,3,4,2,1,10,3,1,7,7,18,95,5,1,5,1,1,4,17
0,DKI Jakarta,DKI Jakarta,0,3,Private Second Account,Alter Account,Fake/Spam/Fan Account,,,,1,0,1,1,2,2,1,0,4,5,1,5,7,3,1,22,7,7,7,5,26,7,4,4,4,19,7,7,14,81,7,7,7,5,26,6,4,6,5,5,26,6,6,6,18,3,5,5,13,6,6,4,5,21,7,5,4,5,21,125,5,5,3,5,4,5,27
1,DKI Jakarta,DKI Jakarta,0,3,Private Second Account,Alter Account,Fake/Spam/Fan Account,,,,1,0,1,1,2,2,1,0,3,6,5,6,7,6,5,35,7,7,7,7,28,7,7,6,7,27,7,7,14,104,7,7,7,7,28,7,7,7,7,4,32,7,7,7,21,7,5,6,18,7,7,7,7,28,6,4,4,4,18,145,3,3,5,2,1,4,18
0,DKI Jakarta,DKI Jakarta,0,3,Private Second Account,Role Play Account,Fake/Spam/Fan Account,,,,1,1,1,0,3,2,1,0,4,4,6,6,7,5,2,30,6,7,7,5,25,7,6,7,7,27,6,7,13,95,6,6,7,7,26,7,5,5,7,6,30,5,3,5,13,6,5,6,17,7,7,7,7,28,7,6,6,6,25,139,4,3,5,3,3,1,19
1,DKI Jakarta,DKI Jakarta,0,3,Private Second Account,Role Play Account,Fake/Spam/Fan Account,,,,1,1,1,0,2,3,1,0,4,4,4,5,3,7,5,28,5,6,5,5,21,7,6,5,5,23,4,5,9,81,3,3,3,6,15,7,5,5,5,5,27,7,6,6,19,7,6,7,20,3,3,3,3,12,3,2,3,3,11,104,4,5,4,4,5,3,25
1,DKI Jakarta,DKI Jakarta,0,3,Private Second Account,Fake/Spam/Fan Account,Akun buat cari info masuk PTN,,,,1,0,1,0,2,4,1,0,3,1,2,1,5,7,7,23,7,7,7,4,25,7,3,6,2,18,7,1,8,74,7,7,7,4,25,6,2,4,3,7,22,7,2,7,16,3,2,6,11,4,2,2,2,10,1,2,4,3,10,94,1,1,2,5,1,1,11
0,DKI Jakarta,DKI Jakarta,0,3,Private Second Account,Role Play Account,Fake/Spam/Fan Account,,,,1,1,1,0,2,3,1,0,4,5,5,6,7,7,6,36,6,6,6,6,24,7,5,7,7,26,7,6,13,99,6,7,7,6,26,5,5,3,4,4,21,5,5,5,15,5,5,4,14,6,4,5,7,22,6,5,4,5,20,118,4,3,4,4,4,5,24
1,DKI Jakarta,DKI Jakarta,0,3,Private Second Account,Role Play Account,Fake/Spam/Fan Account,,,,1,1,1,0,3,3,1,0,3,5,4,4,7,7,6,33,6,6,6,6,24,7,5,6,6,24,7,7,14,95,7,6,6,5,24,5,5,4,5,3,22,6,5,6,17,5,5,5,15,4,3,3,4,14,5,4,4,4,17,109,5,5,5,5,5,5,30
1,DKI Jakarta,DKI Jakarta,0,3,Private Second Account,Role Play Account,Fake/Spam/Fan Account,,,,1,1,1,0,2,3,1,0,3,3,3,6,7,4,1,24,4,2,1,1,8,7,4,7,4,22,7,7,14,68,6,4,4,6,20,4,6,4,4,4,22,6,4,6,16,4,4,4,12,2,1,2,5,10,3,3,3,3,12,92,5,4,5,3,1,3,21
2,DKI Jakarta,DKI Jakarta,0,3,Private Second Account,Role Play Account,Fake/Spam/Fan Account,,,,1,1,1,0,3,3,1,0,2,2,5,2,5,5,6,25,6,6,6,5,23,6,5,5,5,21,6,5,11,80,6,6,6,6,24,6,6,4,4,6,26,6,6,6,18,4,4,4,12,5,3,4,5,17,4,4,3,4,15,112,3,3,4,2,2,3,17
1,DKI Jakarta,DKI Jakarta,0,3,Private Second Account,Role Play Account,Fake/Spam/Fan Account,,,,1,1,1,0,3,4,1,0,3,5,6,6,7,6,3,33,6,5,4,5,20,7,5,7,5,24,7,7,14,91,7,4,3,1,15,2,2,4,6,4,18,2,2,4,8,6,5,5,16,3,6,2,2,13,1,4,4,2,11,81,3,2,4,4,1,2,16
1,DKI Jakarta,DKI Jakarta,0,2,Private Second Account,Fake/Spam/Fan Account,Fake/Spam/Fan Account,,,,1,0,2,0,3,4,1,1,2,5,5,7,7,5,3,32,5,7,6,1,19,7,7,7,7,28,7,7,14,93,7,7,7,7,28,7,7,6,7,7,34,7,7,7,21,7,7,7,21,7,7,7,7,28,7,4,4,4,19,151,5,5,5,3,1,5,24
1,DKI Jakarta,DKI Jakarta,0,3,Private Second Account,Role Play Account,Fake/Spam/Fan Account,,,,1,1,1,0,1,1,1,0,4,3,1,3,3,3,1,14,7,7,7,5,26,7,4,6,6,23,7,7,14,77,6,6,7,7,26,7,5,6,6,5,29,6,6,6,18,4,4,5,13,4,3,2,1,10,7,6,7,5,25,121,5,5,5,5,5,5,30
1,DKI Jakarta,DKI Jakarta,0,3,Private Second Account,Role Play Account,Fake/Spam/Fan Account,,,,1,1,1,0,3,2,1,0,2,4,6,6,7,6,5,34,6,7,6,4,23,7,7,5,7,26,7,7,14,97,6,6,7,7,26,7,6,7,7,4,31,7,6,7,20,5,5,5,15,4,4,2,3,13,6,2,5,4,17,122,4,3,5,4,3,3,22
1,DKI Jakarta,DKI Jakarta,0,4,Private Second Account,Role Play Account,Fake/Spam/Fan Account,Personal Account (akun dengan nama panggilan asli di dunia nyata),,,1,1,1,0,3,3,1,0,4,3,3,3,7,4,6,26,6,7,7,4,24,7,4,7,6,24,7,7,14,88,6,5,5,4,20,3,5,4,4,3,19,6,5,5,16,6,5,4,15,1,1,1,2,5,1,1,1,1,4,79,4,4,5,4,2,5,24
1,DKI Jakarta,DKI Jakarta,0,3,Private Second Account,Alter Account,Fake/Spam/Fan Account,,,,1,0,1,1,1,2,0,1,4,3,2,5,5,6,2,23,6,7,7,5,25,6,3,3,3,15,7,7,14,77,6,6,6,4,22,3,3,5,5,5,21,6,7,7,20,5,5,6,16,4,4,2,5,15,2,2,2,3,9,103,4,2,4,2,2,4,18
1,DKI Jakarta,DKI Jakarta,0,4,Private Second Account,Role Play Account,Alter Account,Fake/Spam/Fan Account,,,1,1,1,1,1,3,1,0,1,3,1,1,7,7,1,20,7,7,7,4,25,7,4,7,1,19,7,7,14,78,7,7,7,5,26,7,7,6,4,3,27,7,7,7,21,7,7,7,21,5,6,2,6,19,2,4,2,4,12,126,3,2,4,1,1,2,13
0,DKI Jakarta,DKI Jakarta,0,3,Private Second Account,Fake/Spam/Fan Account,business account,,,,1,0,1,0,4,3,1,0,2,1,1,2,5,6,1,16,5,5,3,3,16,6,6,6,3,21,6,2,8,61,1,7,7,5,20,5,5,5,5,5,25,6,6,6,18,4,4,6,14,2,1,1,1,5,1,4,1,1,7,89,4,4,2,4,4,3,21
1,DKI Jakarta,DKI Jakarta,0,3,Private Second Account,Role Play Account,Fake/Spam/Fan Account,,,,1,1,1,0,3,4,1,0,2,3,2,1,6,3,3,18,4,5,1,1,11,7,5,7,6,25,7,7,14,68,7,7,7,5,26,7,7,7,7,7,35,7,3,1,11,7,6,6,19,3,3,5,5,16,3,4,3,3,13,120,2,1,3,4,3,4,17
1,DKI Jakarta,DKI Jakarta,0,3,Private Second Account,Role Play Account,Fake/Spam/Fan Account,,,,1,1,1,0,4,2,1,1,2,5,1,4,7,6,3,26,6,7,6,4,23,7,7,7,7,28,7,7,14,91,7,5,7,7,26,7,7,7,7,6,34,7,7,7,21,7,7,7,21,7,7,7,7,28,7,7,7,7,28,158,4,1,5,2,1,3,16
1,DKI Jakarta,DKI Jakarta,0,3,Private Second Account,Alter Account,Fake/Spam/Fan Account,,,,1,0,1,1,3,3,1,1,2,2,1,3,6,4,1,17,7,6,5,4,22,7,6,4,4,21,6,6,12,72,6,6,6,5,23,6,4,4,4,4,22,4,4,5,13,6,5,5,16,2,2,1,2,7,4,3,3,2,12,93,3,3,5,4,2,3,20
0,DKI Jakarta,DKI Jakarta,1,3,Private Second Account,Alter Account,Fake/Spam/Fan Account,,,,1,0,1,1,2,3,1,0,4,4,1,4,5,7,5,26,7,7,6,5,25,7,2,5,6,20,7,7,14,85,7,7,6,6,26,7,5,5,5,7,29,7,7,7,21,6,6,6,18,6,6,7,6,25,6,7,7,5,25,144,3,2,3,1,2,4,15
1,DKI Jakarta,DKI Jakarta,0,3,Private Second Account,Alter Account,Fake/Spam/Fan Account,,,,1,0,1,1,3,2,1,0,1,5,2,5,3,5,2,22,6,7,7,7,27,7,6,7,7,27,7,7,14,90,5,3,2,3,13,3,3,3,3,5,17,5,5,5,15,5,5,4,14,1,2,2,6,11,3,2,5,5,15,85,1,1,5,2,2,1,12
1,DKI Jakarta,DKI Jakarta,0,3,Private Second Account,Role Play Account,Fake/Spam/Fan Account,,,,1,1,1,0,3,4,1,0,3,4,1,7,7,7,1,27,7,7,7,3,24,7,6,6,6,25,6,6,12,88,7,7,7,7,28,7,7,7,7,7,35,7,7,7,21,7,7,7,21,2,2,2,2,8,6,6,6,2,20,133,4,3,5,5,4,2,23
1,DKI Jakarta,DKI Jakarta,0,3,Private Second Account,Role Play Account,Fake/Spam/Fan Account,,,,1,1,1,0,2,3,1,0,3,5,5,6,7,6,5,34,4,5,5,5,19,7,4,4,5,20,7,4,11,84,6,5,6,6,23,5,4,3,5,5,22,6,6,6,18,6,6,6,18,4,4,3,3,14,6,5,6,6,23,118,5,4,3,4,4,5,25
1,DKI Jakarta,DKI Jakarta,0,3,Private Second Account,Alter Account,Fake/Spam/Fan Account,,,,1,0,1,1,3,1,0,1,4,4,1,5,7,4,1,22,2,1,1,1,5,3,4,5,5,17,4,5,9,53,5,4,7,3,19,5,5,4,5,3,22,5,5,5,15,5,5,3,13,2,4,2,5,13,6,5,5,5,21,103,2,3,4,5,2,2,18
